ident,lat,lon,speed,device_timestamp,server_timestamp,direction
359647090157996,,,,2019-10-01 19:29:51+00,2019-10-01 19:29:51+00,
359647090157996,53.648568,23.837274,16,2019-10-01 16:29:51+00,2019-10-01 19:29:52+00,182
359647090162137,59.892782,30.650922,104,2019-10-01 16:29:51+00,2019-10-01 19:29:52+00,72
359647090156261,53.581808,24.274964,93,2019-10-01 16:29:52+00,2019-10-01 19:29:53+00,248
359647090156055,53.630151,24.037946,95,2019-10-01 16:29:53+00,2019-10-01 19:29:54+00,306
359647090164307,59.141715,39.315373,102,2019-10-01 11:29:57+00,2019-10-01 19:29:59+00,256
359647090161725,,,,2019-10-01 19:29:59+00,2019-10-01 19:29:59+00,
351608088226043,55.670106,49.719137,91,2019-10-01 16:29:58+00,2019-10-01 19:29:59+00,282
359647090158937,53.715635,24.953393,91,2019-10-01 16:29:59+00,2019-10-01 19:30:00+00,233
359647090158986,53.958253,27.108553,87,2019-10-01 16:30:00+00,2019-10-01 19:30:01+00,302
359647090162277,53.885075,27.543742,21,2019-10-01 16:30:00+00,2019-10-01 19:30:01+00,239
359647090156261,53.580786,24.271313,97,2019-10-01 16:30:02+00,2019-10-01 19:30:03+00,244
359647090156055,53.631568,24.03468,95,2019-10-01 16:30:03+00,2019-10-01 19:30:04+00,305
359647090156089,53.648595,23.836148,0,2019-10-01 16:30:05+00,2019-10-01 19:30:06+00,164
359647090156089,,,,2019-10-01 19:30:05+00,2019-10-01 19:30:05+00,
359647090162137,59.893626,30.655833,104,2019-10-01 16:30:01+00,2019-10-01 19:30:07+00,71
359647090158168,,,,2019-10-01 19:30:08+00,2019-10-01 19:30:08+00,
351608088226043,55.670808,49.715257,93,2019-10-01 16:30:08+00,2019-10-01 19:30:09+00,292
359647090158937,53.714395,24.950184,91,2019-10-01 16:30:09+00,2019-10-01 19:30:10+00,240
359647090156089,53.6486,23.836446,15,2019-10-01 16:30:09+00,2019-10-01 19:30:10+00,77
359647090164307,59.141026,39.310435,107,2019-10-01 11:30:07+00,2019-10-01 19:30:11+00,256
359647090162277,53.88484,27.543004,30,2019-10-01 16:30:10+00,2019-10-01 19:30:11+00,241
359647090158986,53.959413,27.104984,98,2019-10-01 16:30:10+00,2019-10-01 19:30:11+00,298
359647090157996,53.648208,23.837175,12,2019-10-01 16:30:11+00,2019-10-01 19:30:12+00,256
359647090162137,59.894466,30.660762,105,2019-10-01 16:30:11+00,2019-10-01 19:30:13+00,72
359647090156261,53.579817,24.267557,96,2019-10-01 16:30:12+00,2019-10-01 19:30:13+00,249
359647090156055,53.632902,24.031515,94,2019-10-01 16:30:13+00,2019-10-01 19:30:14+00,305
359647090164307,59.140306,39.305253,113,2019-10-01 11:30:17+00,2019-10-01 19:30:19+00,255
351608088226043,55.671884,49.711568,93,2019-10-01 16:30:18+00,2019-10-01 19:30:19+00,299
359647090096954,,,,2019-10-01 19:30:19+00,2019-10-01 19:30:19+00,
359647090096954,55.915462,58.209306,0,2019-10-01 16:30:18+00,2019-10-01 19:30:19+00,306
359647090158937,53.713377,24.946748,91,2019-10-01 16:30:19+00,2019-10-01 19:30:20+00,243
359647090156089,53.648737,23.837175,19,2019-10-01 16:30:19+00,2019-10-01 19:30:20+00,111
359647090158986,53.960604,27.101206,102,2019-10-01 16:30:20+00,2019-10-01 19:30:21+00,298
359647090162137,59.895262,30.665766,104,2019-10-01 16:30:21+00,2019-10-01 19:30:22+00,73
359647090162277,53.884413,27.541557,41,2019-10-01 16:30:20+00,2019-10-01 19:30:22+00,241
359647090156261,53.579093,24.263671,96,2019-10-01 16:30:22+00,2019-10-01 19:30:23+00,254
359647090156261,,,,2019-10-01 19:30:22+00,2019-10-01 19:30:22+00,
359647090156055,,,,2019-10-01 19:30:24+00,2019-10-01 19:30:24+00,
359647090156055,53.634311,24.028262,96,2019-10-01 16:30:23+00,2019-10-01 19:30:24+00,306
359647090164307,59.139728,39.300373,99,2019-10-01 11:30:27+00,2019-10-01 19:30:28+00,255
351608088226043,55.673062,49.708013,92,2019-10-01 16:30:28+00,2019-10-01 19:30:29+00,300
359647090158937,53.712395,24.943277,92,2019-10-01 16:30:29+00,2019-10-01 19:30:30+00,243
359647090159000,,,,2019-10-01 19:30:30+00,2019-10-01 19:30:30+00,
359647090156089,53.648551,23.837973,23,2019-10-01 16:30:28+00,2019-10-01 19:30:30+00,88
359647090162277,53.883982,27.540168,39,2019-10-01 16:30:30+00,2019-10-01 19:30:31+00,245
359647090158986,53.961782,27.097497,97,2019-10-01 16:30:30+00,2019-10-01 19:30:31+00,298
359647090162137,59.895897,30.670813,104,2019-10-01 16:30:31+00,2019-10-01 19:30:32+00,75
359647090156261,53.578635,24.259955,86,2019-10-01 16:30:32+00,2019-10-01 19:30:33+00,260
359647090156055,53.63572,24.025017,92,2019-10-01 16:30:33+00,2019-10-01 19:30:34+00,305
359647090164307,59.139124,39.295782,96,2019-10-01 11:30:37+00,2019-10-01 19:30:38+00,255
359647090158937,,,,2019-10-01 19:30:38+00,2019-10-01 19:30:38+00,
359647090157996,53.648208,23.836591,25,2019-10-01 16:30:38+00,2019-10-01 19:30:39+00,277
359647090156089,53.648675,23.838777,19,2019-10-01 16:30:38+00,2019-10-01 19:30:39+00,78
351608088226043,55.674217,49.704515,90,2019-10-01 16:30:38+00,2019-10-01 19:30:39+00,299
359647090158937,53.711346,24.939811,91,2019-10-01 16:30:39+00,2019-10-01 19:30:40+00,240
359647090158986,53.962933,27.093915,93,2019-10-01 16:30:40+00,2019-10-01 19:30:41+00,300
359647090162277,53.883675,27.53918,9,2019-10-01 16:30:40+00,2019-10-01 19:30:41+00,245
359647090162137,59.896551,30.675848,104,2019-10-01 16:30:41+00,2019-10-01 19:30:42+00,74
359647090156261,53.578408,24.256386,86,2019-10-01 16:30:42+00,2019-10-01 19:30:43+00,265
359647090156055,53.637004,24.022042,81,2019-10-01 16:30:43+00,2019-10-01 19:30:44+00,305
359647090164307,59.138506,39.291213,97,2019-10-01 11:30:47+00,2019-10-01 19:30:48+00,256
359647090157996,53.648315,23.835326,31,2019-10-01 16:30:48+00,2019-10-01 19:30:49+00,254
351608088226043,55.675342,49.701115,87,2019-10-01 16:30:48+00,2019-10-01 19:30:49+00,300
359647090156089,53.648813,23.839595,16,2019-10-01 16:30:48+00,2019-10-01 19:30:49+00,76
359647090162277,53.88356,27.538513,25,2019-10-01 16:30:49+00,2019-10-01 19:30:50+00,266
359647090158937,53.710271,24.936433,90,2019-10-01 16:30:49+00,2019-10-01 19:30:50+00,242
359647090158986,53.964226,27.090762,91,2019-10-01 16:30:50+00,2019-10-01 19:30:51+00,308
359647090162137,59.897142,30.680908,105,2019-10-01 16:30:51+00,2019-10-01 19:30:52+00,76
359647090157996,53.648186,23.835011,30,2019-10-01 16:30:51+00,2019-10-01 19:30:52+00,225
359647090156261,53.578271,24.2528,85,2019-10-01 16:30:52+00,2019-10-01 19:30:53+00,269
359647090157996,53.648062,23.834882,29,2019-10-01 16:30:53+00,2019-10-01 19:30:54+00,202
359647090156063,,,,2019-10-01 19:30:53+00,2019-10-01 19:30:53+00,
359647090162277,53.883626,27.537877,34,2019-10-01 16:30:54+00,2019-10-01 19:30:55+00,290
359647090156121,,,,2019-10-01 19:30:54+00,2019-10-01 19:30:54+00,
359647090156477,,,,2019-10-01 19:30:55+00,2019-10-01 19:30:55+00,
359647090162137,,,,2019-10-01 19:30:55+00,2019-10-01 19:30:55+00,
359647090156055,53.63816,24.019337,83,2019-10-01 16:30:53+00,2019-10-01 19:30:57+00,305
359647090157996,53.647871,23.834802,22,2019-10-01 16:30:56+00,2019-10-01 19:30:57+00,179
351608088226043,55.67644,49.697777,86,2019-10-01 16:30:58+00,2019-10-01 19:30:59+00,300
359647090156089,53.64892,23.840451,22,2019-10-01 16:30:58+00,2019-10-01 19:30:59+00,76
359647090162277,53.883733,27.537126,37,2019-10-01 16:30:59+00,2019-10-01 19:31:00+00,266
359647090158937,53.709186,24.933173,88,2019-10-01 16:30:59+00,2019-10-01 19:31:00+00,241
359647090164307,59.137857,39.286413,104,2019-10-01 11:30:57+00,2019-10-01 19:31:01+00,255
359647090158986,53.965715,27.087886,93,2019-10-01 16:31:00+00,2019-10-01 19:31:01+00,313
359647090162137,59.897711,30.685977,104,2019-10-01 16:31:01+00,2019-10-01 19:31:02+00,77
359647090156261,53.578288,24.249188,85,2019-10-01 16:31:02+00,2019-10-01 19:31:03+00,273
359647090156055,53.63944,24.016348,94,2019-10-01 16:31:03+00,2019-10-01 19:31:04+00,306
359647090162277,53.883551,27.536304,39,2019-10-01 16:31:04+00,2019-10-01 19:31:06+00,238
359647090164307,59.137155,39.281337,104,2019-10-01 11:31:07+00,2019-10-01 19:31:08+00,256
359647090158960,,,,2019-10-01 19:31:08+00,2019-10-01 19:31:08+00,
359647090165494,,,,2019-10-01 19:31:08+00,2019-10-01 19:31:08+00,
359647090162277,53.883266,27.535933,44,2019-10-01 16:31:07+00,2019-10-01 19:31:08+00,217
351608088226043,55.677506,49.694524,84,2019-10-01 16:31:08+00,2019-10-01 19:31:09+00,299
359647090156089,53.649004,23.841264,22,2019-10-01 16:31:08+00,2019-10-01 19:31:09+00,77
359647090158937,53.708124,24.929931,88,2019-10-01 16:31:09+00,2019-10-01 19:31:10+00,241
